Work Order Number,Customer Number,Name,Address,City,State,OrderDate,DayOfWeek,Latitude,Longitude,Rt,Food Pallets,Pet Food Pallets,Chemical Pallets,Total Pallets,Seq
900025,091,Customer 091,8921 Main Street,Queens,NY,01/05/2026,Monday,40.69772873982824,-73.8341823153853,45,0.7,0.0,0.25,0.95,1
900001,001,Customer 001,3239 Main Street,Bronx,NY,01/05/2026,Monday,40.82393494763585,-73.90903906592717,45,4.33,0.0,0.0,4.33,2
900002,003,Customer 003,1335 Main Street,Bronx,NY,01/05/2026,Monday,40.86555164559,-73.88702973397817,19,8.01,0.0,0.0,8.01,1
900003,005,Customer 005,341 Main Street,Queens,NY,01/05/2026,Monday,40.69747391202919,-73.82905390354207,25,2.8,0.08,0.0,2.88,1
900004,010,Customer 010,6309 Main Street,Brooklyn,NY,01/05/2026,Monday,40.65654070000209,-73.91897014191731,6,0.45,0.0,0.25,0.7,1
900020,059,Customer 059,6758 Main Street,Brooklyn,NY,01/05/2026,Monday,40.67755950741335,-73.91187495774679,6,0.42,0.16,0.0,0.58,2
900005,011,Customer 011,4773 Main Street,Brooklyn,NY,01/05/2026,Monday,40.652082455862505,-73.92481650340132,18,1.53,0.0,0.0,1.53,1
900010,021,Customer 021,9662 Main Street,Brooklyn,NY,01/05/2026,Monday,40.68093339365346,-73.94670663597643,18,1.46,0.0,0.0,1.46,2
900006,015,Customer 015,1058 Main Street,Bronx,NY,01/05/2026,Monday,40.82239448550935,-73.91429829435131,21,0.56,0.0,0.0,0.56,1
900007,016,Customer 016,9671 Main Street,Bronx,NY,01/05/2026,Monday,40.854973107257365,-73.86437656576189,21,0.54,0.0,0.25,0.79,2
900008,018,Customer 018,3144 Main Street,Bronx,NY,01/05/2026,Monday,40.84297611177931,-73.84592385676613,31,4.27,0.35,0.0,4.62,1
900009,020,Customer 020,9433 Main Street,Queens,NY,01/05/2026,Monday,40.70811449489744,-73.79898444261066,32,0.6,0.0,0.0,0.6,1
900011,022,Customer 022,5247 Main Street,Queens,NY,01/05/2026,Monday,40.70649711069442,-73.756756602347,2,0.56,0.0,0.0,0.56,1
900019,056,Customer 056,753 Main Street,Queens,NY,01/05/2026,Monday,40.7572560717902,-73.91514119505781,2,0.74,0.0,0.0,0.74,2
900012,027,Customer 027,9324 Main Street,Brooklyn,NY,01/05/2026,Monday,40.687360434885576,-73.98066195659537,9,0.71,0.35,0.0,1.06,1
900013,033,Customer 033,9000 Main Street,Bronx,NY,01/05/2026,Monday,40.88677507240233,-73.85199192252,7,1.0,0.0,0.0,1.0,1
900014,034,Customer 034,228 Main Street,Manhattan,NY,01/05/2026,Monday,40.768896755175966,-73.95610818925888,3,1.63,0.0,0.08,1.71,1
900016,046,Customer 046,7039 Main Street,Manhattan,NY,01/05/2026,Monday,40.773204917119784,-73.95678092820883,3,1.51,0.0,0.0,1.51,2
900015,045,Customer 045,8380 Main Street,Brooklyn,NY,01/05/2026,Monday,40.63550402142037,-74.13303054062014,Bronx,0.81,0.0,0.0,0.81,1
900017,052,Customer 052,1932 Main Street,Bronx,NY,01/05/2026,Monday,40.84586642009279,-73.89820757611032,14,1.43,0.0,0.0,1.43,1
900022,067,Customer 067,1871 Main Street,Bronx,NY,01/05/2026,Monday,40.86604266971237,-73.92623623009767,14,0.93,0.0,0.0,0.93,2
